Isaiah Jackson,IND,2451120,2573760,2696280,4435381,,,1st Round Pick,5024880
Ty Jerome,OKC,2412840,4220057,,,,,1st Round Pick,6632897
Hassan Whiteside,UTA,2401537,,,,,,Minimum Salary,2401537
Kent Bazemore,LAL,2401537,,,,,,Minimum Salary,2401537
Austin Rivers,DEN,2401537,,,,,,Minimum Salary,2401537
Andre Drummond,BRK,2401537,,,,,,Minimum Salary,2401537
Cory Joseph,DET,7310000,5155000,,,,,,7310000
Cody Zeller,POR,2389641,,,,,,,2389641
Ben McLemore,POR,2389641,,,,,,Minimum Salary,2389641
Solomon Hill,NYK,2389641,,,,,,,2389641
Tony Snell,NOP,2389641,,,,,,Minimum Salary,2389641
Victor Oladipo,MIA,2389641,,,,,,Minimum Salary,2389641
Dewayne Dedmon,MIA,5256308,2866667,2866667,2866667,,,Minimum Salary,2389641
Otto Porter Jr.,GSW,2389641,,,,,,Minimum Salary,2389641
Leandro Bolmaro,MIN,2353320,2471160,2588400,4392515,,,1st Round Pick,4824480
Usman Garuba,HOU,2353320,2471160,2588400,4392515,,,1st Round Pick,4824480
Willy Hernangómez,NOP,2327220,2443581,2559942,,,,Non Bird,4770801
Nassir Little,POR,2316240,4171548,,,,,1st Round Pick,6487788
R.J. Hampton,ORL,2303040,2412840,4220057,,,,1st Round Pick,4715880
Josh Christopher,HOU,2259240,2372160,2485200,4346615,,,1st Round Pick,4631400
Monta Ellis,IND,2245400,,,,,,,2245400
Elfrid Payton,PHO,2239544,,,,,,Minimum Salary,2239544
Rodney Hood,LAC,2239544,,,,,,Minimum Salary,2239544
Dylan Windler,CLE,2239200,4037278,,,,,1st Round Pick,6276478
Immanuel Quickley,NYK,2210640,2316240,4171548,,,,1st Round Pick,4526880
John Konchar,MEM,2197674,2302326,2406977,,,,MLE,6906977
Quentin Grimes,NYK,2168760,2277000,2385720,4296682,,,1st Round Pick,4445760
Jordan Poole,GSW,2161440,3901399,,,,,1st Round Pick,6062839
Bol Bol,ORL,2161152,,,,,,MLE,2161152
Keldon Johnson,SAS,2145720,3873025,,,,,1st Round Pick,6018745
Payton Pritchard,BOS,2137440,2239200,4037278,,,,1st Round Pick,4376640
Kevin Porter Jr.,HOU,2130240,3845083,,,,,1st Round Pick,5975323
Bones Hyland,DEN,2096880,2201400,2306400,4158439,,,1st Round Pick,4298280
Raul Neto,WAS,2089448,,,,,,Minimum Salary,2089448
Frank Kaminsky,PHO,2089448,,,,,,Minimum Salary,2089448
Nemanja Bjelica,GSW,2089448,,,,,,Minimum Salary,2089448
Udoka Azubuike,UTA,2075880,2174880,3923484,,,,1st Round Pick,4250760
Jaden McDaniels,MIN,2063280,2161440,3901399,,,,1st Round Pick,4224720
Malachi Flynn,TOR,2048040,2145720,3873025,,,,1st Round Pick,4193760
Cam Thomas,BRK,2036280,2138160,2240040,4041032,,,1st Round Pick,4174440
Desmond Bane,MEM,2033160,2130240,3845083,,,,1st Round Pick,4163400
Jaden Springer,PHI,2023800,2125200,2226360,4018580,,,1st Round Pick,4149000
Day'Ron Sharpe,BRK,2009040,2109360,2210160,3989339,,,1st Round Pick,4118400
Jeremiah Robinson-Earl,OKC,2000000,2000000,1900000,1988598,,,MLE,4000000
Killian Tillie,MEM,2000000,2000000,,,,,Room Exception,4000000
Abdel Nader,PHO,2000000,,,,,,,2000000
Théo Maledon,OKC,2000000,1900000,1930681,,,,MLE,2000000
Kenrich Williams,OKC,2000000,2000000,,,,,,
Santi Aldama,MEM,1994520,2094240,2194200,3960531,,,1st Round Pick,4088760
Damian Jones,SAC,1977011,,,,,,,
Wesley Matthews,MIL,1958501,,,,,,,
Rodney McGruder,DET,1939350,,,,,,Minimum Salary,1939350
DeAndre' Bembry,BRK,1939350,,,,,,,1939350
Gary Payton II,GSW,1939350,,,,,,Minimum Salary,350000
Timothé Luwawu-Cabarrot,ATL,1939350,,,,,,,
PJ Dozier,ORL,1910860,,,,,,,1910860
Damion Lee,GSW,1910860,,,,,,,
Larry Sanders,MIL,1865547,,,,,,,1865547
Shake Milton,PHI,1846738,1997718,,,,,Cap Space,1846738
Mitchell Robinson,NYK,1802057,,,,,,MLE,1802057
Jalen Brunson,DAL,1802057,,,,,,,
Malik Monk,LAL,1789256,,,,,,Minimum Salary,1789256
Semi Ojeleye,LAC,1789256,,,,,,Minimum Salary,1789256
Frank Ntilikina,DAL,1789256,2036318,,,,,Minimum Salary,1789256
Tony Bradley,CHI,1789256,2036318,,,,,Minimum Salary,1789256
Dennis Smith Jr.,POR,1789256,,,,,,,
